start_date,title,score,members
2006-10-04,Death Note,8.65,1871043
2009-04-05,Fullmetal Alchemist: Brotherhood,9.23,1615084
2015-10-05,One Punch Man,8.68,1475219
2011-04-06,Steins;Gate,9.11,1331710
2006-10-06,Code Geass: Hangyaku no Lelouch,8.76,1231546
2016-08-26,Kimi no Na wa.,9.09,1139878
2011-10-02,Hunter x Hunter (2011),9.11,1052761
2017-04-01,Boku no Hero Academia 2nd Season,8.6,1023413
2014-10-10,Shigatsu wa Kimi no Uso,8.83,995473
2008-04-06,Code Geass: Hangyaku no Lelouch R2,8.93,992196
2007-04-01,Tengen Toppa Gurren Lagann,8.7,982090
2016-01-08,Boku dake ga Inai Machi,8.49,954354
1999-10-20,One Piece,8.53,948342
1998-04-03,Cowboy Bebop,8.81,930311
2001-07-20,Sen to Chihiro no Kamikakushi,8.9,913212
2011-04-15,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8.5,849794
2016-09-17,Koe no Katachi,9.01,842277
2016-07-11,Mob Psycho 100,8.51,804491
2018-04-07,Boku no Hero Academia 3rd Season,8.56,781026
2008-10-03,Clannad: After Story,8.97,740101
2004-05-20,Samurai Champloo,8.5,692588
2014-04-06,Haikyuu!!,8.62,684654
1997-07-12,Mononoke Hime,8.77,656961
2018-01-11,Violet Evergarden,8.62,635262
2012-04-08,Fate/Zero 2nd Season,8.62,633594
2004-11-20,Howl no Ugoku Shiro,8.71,615722
2017-07-07,Made in Abyss,8.83,581663
2016-01-08,Ansatsu Kyoushitsu 2nd Season,8.6,579568
2006-04-04,Gintama,8.97,579150
2019-04-06,Kimetsu no Yaiba,8.92,575037
2005-10-23,Mushishi,8.71,503625
2011-04-03,Nichijou,8.5,497276
2019-01-10,Yakusoku no Neverland,8.69,494214
2015-10-04,Haikyuu!! Second Season,8.82,489888
2012-07-21,Ookami Kodomo no Ame to Yuki,8.7,472563
2004-04-07,Monster,8.69,459710
1999-06-30,Great Teacher Onizuka,8.71,456381
2019-04-29,Shingeki no Kyojin Season 3 Part 2,9.07,446370
2019-01-07,Mob Psycho 100 II,8.89,442310
2019-07-05,Dr. Stone,8.49,429097
2018-04-12,Steins;Gate 0,8.54,420190
2017-07-15,No Game No Life: Zero,8.51,412183
1997-07-19,Neon Genesis Evangelion: The End of Evangelion,8.51,402617
2010-02-06,Suzumiya Haruhi no Shoushitsu,8.68,400446
2013-07-07,Monogatari Series: Second Season,8.76,397172
2016-10-08,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.94,395375
2013-04-20,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,8.53,361969
2015-01-10,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,8.56,358542
2016-04-02,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.6,351782
1988-04-16,Hotaru no Haka,8.53,320630
2016-07-04,Saiki Kusuo no Ψ-nan,8.5,306640
2000-10-04,Hajime no Ippo,8.77,301226
2019-07-08,Vinland Saga,8.78,289086
2015-04-08,Gintama°,9.05,281594
2011-04-04,Gintama',9.04,278110
2018-10-06,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,8.73,255280
2010-04-07,Rainbow: Nisha Rokubou no Shichinin,8.54,247989
2010-04-23,Yojouhan Shinwa Taikei,8.62,239592
2018-01-02,Sora yori mo Tooi Basho,8.62,238833
2012-10-06,Bakuman. 3rd Season,8.61,225576
2016-08-19,Kizumonogatari II: Nekketsu-hen,8.64,215925
2017-01-06,Kizumonogatari III: Reiketsu-hen,8.83,214621
1999-02-20,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.75,200024
2014-04-11,Ping Pong the Animation,8.62,196091
2017-08-12,Owarimonogatari 2nd Season,8.93,189944
2014-04-05,Mushishi Zoku Shou,8.72,185283
2016-01-09,Shouwa Genroku Rakugo Shinjuu,8.59,180661
2018-01-17,Saiki Kusuo no Ψ-nan 2,8.56,180322
2018-09-01,Kimi no Suizou wo Tabetai,8.59,179823
1988-01-08,Ginga Eiyuu Densetsu,9.03,175423
2004-01-01,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,8.52,173629
2009-01-06,Zoku Natsume Yuujinchou,8.6,173394
2017-10-14,3-gatsu no Lion 2nd Season,9.02,169544
2011-07-05,Natsume Yuujinchou San,8.62,168440
2012-10-04,Gintama': Enchousen,8.98,166446
2008-08-16,Kara no Kyoukai 5: Mujun Rasen,8.58,163519
2009-01-07,Hajime no Ippo: New Challenger,8.69,162463
2012-01-03,Natsume Yuujinchou Shi,8.69,161039
2014-10-19,Mushishi Zoku Shou 2nd Season,8.76,157406
1993-10-16,Slam Dunk,8.53,150652
