start_date,title,members
1917-06-30,Namakura Gatana,4461
1918-02-01,Urashima Tarou,1543
1924-01-01,Usagi to Kame,752
1925-01-01,Ubasuteyama,502
1926-01-01,Saiyuuki: Son Gokuu Monogatari,918
1927-02-11,Mikan-bune,622
1928-01-01,Tairiki Tarou no Mucha Shuugyou,1149
1929-10-14,Kobutori (1929),2200
1930-10-14,Mura Matsuri,1539
1931-01-01,Kuro Nyago,2676
1932-01-01,Dankichi-jima no Olympic Taikai,952
1933-12-31,Ugokie Kori no Tatehiki,944
1934-01-01,Dekobou no Jidousha Ryokou,948
1935-01-01,Shoujouji no Tanuki-bayashi Ban Danemon,980
1936-01-01,Osaru no Kantai,826
1937-01-01,Katsura Hime,361
1938-12-05,Maabou no Kinoshita Toukichirou,799
1939-07-01,Benkei tai Ushiwaka,855
1940-01-01,Ahiru Rikusentai,634
1941-02-01,Kangaroo no Tanjoubi,712
1942-01-01,Osaru no Sankichi: Boukuusen,774
1943-04-15,Kumo to Tulip,1535
1944-11-09,Fuku-chan no Sensuikan,443
1945-04-12,Momotarou: Umi no Shinpei,1473
1946-01-01,Sakura,646
1947-09-25,Suteneko Tora-chan,1032
1948-02-01,Tora-chan to Hanayome,749
1949-09-01,Kitsune no Home Run Ou,278
1950-01-01,Tora-chan no Kankan Mushi,578
1951-02-01,Ponsuke no Udekurabe,225
1952-12-01,Kujira (1952),729
1953-03-01,Mori no Ongakukai,252
1954-10-01,Hana to Chou,499
1955-12-26,Onbu Obake,244
1956-04-01,Yuureisen,1228
1957-05-13,Koneko no Rakugaki,1149
1958-10-22,Hakujaden,3333
1959-12-25,Shounen Sarutobi Sasuke,1097
1960-08-14,Saiyuuki,1964
1961-01-01,Kaguya-hime,1255
1962-01-01,Acchi Kocchi,6197
1963-01-01,Tetsuwan Atom,7989
1964-09-21,Ningyo,3107
1965-10-06,Jungle Taitei,5088
1966-12-05,Mahoutsukai Sally,2453
1967-04-02,Mach GoGoGo,9426
1968-07-21,Taiyou no Ouji: Horus no Daibouken,5788
1969-04-06,Dororo to Hyakkimaru,7124
1970-04-01,Ashita no Joe,43533
1971-10-24,Lupin III,60174
1972-07-08,Devilman,15983
1973-06-30,Kanashimi no Belladonna,16980
1974-01-06,Alps no Shoujo Heidi,20712
1975-10-05,UFO Robo Grendizer,7169
1976-10-01,Candy Candy,17960
1977-10-03,Lupin III: Part II,19405
1978-04-04,Mirai Shounen Conan,28649
1979-04-07,Mobile Suit Gundam,81593
1980-10-13,Ashita no Joe 2,20735
1981-10-14,Urusei Yatsura,45907
1982-10-03,Macross,71106
1983-10-13,Captain Tsubasa,55482
1984-03-11,Kaze no Tani no Nausicaä,226668
1985-12-22,Tenshi no Tamago,70003
1986-02-26,Dragon Ball,565538
1987-07-18,Dragon Ball Movie 2: Majinjou no Nemurihime,40705
1988-04-16,Tonari no Totoro,528128
1989-04-26,Dragon Ball Z,683356
1990-07-07,Dragon Ball Z Movie 03: Chikyuu Marugoto Choukessen,86892
1991-07-20,Dragon Ball Z Movie 05: Tobikkiri no Saikyou tai Saikyou,90551
1992-10-10,Yuu☆Yuu☆Hakusho,358442
1993-10-16,Slam Dunk,150652
1994-03-19,Bishoujo Senshi Sailor Moon S,93615
1995-10-04,Neon Genesis Evangelion,844506
1996-02-07,Dragon Ball GT,378007
1997-07-12,Mononoke Hime,656961
1998-04-03,Cowboy Bebop,930311
1999-10-20,One Piece,948342
2000-04-26,FLCL,498692
2001-07-20,Sen to Chihiro no Kamikakushi,913212
2002-10-03,Naruto,1280914
2003-10-04,Fullmetal Alchemist,947466
2004-10-05,Bleach,1002578
2005-10-23,Mushishi,503625
2006-10-04,Death Note,1871043
2007-02-15,Naruto: Shippuuden,1059649
2008-10-02,Toradora!,1153720
2009-04-05,Fullmetal Alchemist: Brotherhood,1615084
2010-04-03,Angel Beats!,1247282
2011-04-06,Steins;Gate,1331710
2012-07-08,Sword Art Online,1657823
2013-04-07,Shingeki no Kyojin,1754979
2014-07-04,Tokyo Ghoul,1346036
2015-10-05,One Punch Man,1475219
2016-04-03,Boku no Hero Academia,1223690
2017-04-01,Boku no Hero Academia 2nd Season,1023413
2018-04-07,Boku no Hero Academia 3rd Season,781026
2019-04-10,One Punch Man 2nd Season,607876
2020-04-01,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,151525
2021-01-01,Koukyoushihen Eureka Seven Hi-Evolution 3,6693
